iata,ident,name,latitude,longitude,iso_country,city
GDX,UHMM,Sokol Airport,59.9109992980957,150.720001220703,RU,Magadan
KVM,UHMO,Markovo Airport,64.665088,170.429782,RU,Markovo
PWE,UHMP,Pevek Airport,69.783302,170.597,RU,Apapelgino
SWV,UHMW,Severo-Evensk Airport,61.921786,159.229059,RU,Evensk
BQG,UHNB,Bogorodskoye Airport,52.381041,140.449378,RU,Bogorodskoye
NLI,UHNN,Nikolayevsk-na-Amure Airport,53.154999,140.649994,RU,Nikolayevsk-na-Amure Airport
OHO,UHOO,Okhotsk Airport,59.4100646972656,143.056503295898,RU,Okhotsk
PKC,UHPP,Yelizovo Airport,53.1679000854492,158.453994750977,RU,Petropavlovsk-Kamchatsky
BVV,UHSB,Burevestnik Airport,44.919998,147.621994,RU,Kurilsk
OHH,UHSH,Okha Airport,53.517656,142.879772,RU,Okha
ITU,UHSI,Iturup Airport,45.256389,147.95549,RU,Kurilsk
EKS,UHSK,Shakhtyorsk Airport,49.1903,142.082993,RU,Shakhtyorsk
DEE,UHSM,Yuzhno-Kurilsk Mendeleyevo Airport,43.961066,145.684977,RU,Yuzhno-Kurilsk
ZZO,UHSO,Zonalnoye Airport,50.6692008972,142.761001587,RU,Tymovskoye
UUS,UHSS,Yuzhno-Sakhalinsk Airport,46.885461,142.717466,RU,Yuzhno-Sakhalinsk
AEM,UHTG,Amgu Airport,45.84126,137.673568,RU,Amgu
ETL,UHTQ,Svetlaya Airport,46.541704,138.321703,RU,Svetlaya
EDN,UHWE,Yedinka Airport,47.178201,138.657357,RU,Yedinka
KVR,UHWK,Kavalerovo Airport,44.2726,135.029,RU,Kavalerovo
TLY,UHWP,Plastun Airport,44.814998626709,136.29200744629,RU,Plastun
NEI,UHWT,Terney Airport,45.0825,136.5912,RU,Terney
VVO,UHWW,Vladivostok International Airport,43.396256,132.148155,RU,Artyom
HTA,UIAA,Chita-Kadala International Airport,52.026299,113.306,RU,Chita
BTK,UIBB,Bratsk Airport,56.3706016540527,101.697998046875,RU,Bratsk
UIK,UIBS,Ust-Ilimsk Airport,58.136100769043,102.565002441406,RU,Ust-Ilimsk
IKT,UIII,Irkutsk International Airport,52.268002,104.389,RU,Irkutsk
ODO,UIKB,Bodaybo Airport,57.8661003113,114.242996216,RU,Bodaybo
ERG,UIKE,Yerbogachen Airport,61.2750015259,108.029998779,RU,Erbogachen
KCK,UIKK,Kirensk Airport,57.773,108.064,RU,Kirensk
RZH,UIKP,Preobrazheniye Airport,42.921698,133.904438,RU,Preobrazheniye
UKX,UITT,Ust-Kut Airport,56.8567008972168,105.730003356934,RU,Ust-Kut
UUD,UIUU,Baikal International Airport,51.808614,107.439652,RU,Ulan Ude
UJE,UJAP,Ujae Atoll Airport,8.92805957794,165.761993408,MH,Ujae Atoll
UJN,UJN,Uljin Airport,36.777049,129.461861,KR,"Bongsan-ri, Uljin"
KBP,UKBB,Boryspil International Airport,50.345001,30.894699,UA,Boryspil
KRQ,UKCK,Kramatorsk Airport,48.706799,37.630922,UA,Kramatorsk
MPW,UKCM,Mariupol International Airport,47.076099395752,37.4496002197266,UA,Mariupol
SEV,UKCS,Sievierodonetsk Airport,48.900926,38.54279,UA,Sievierodonetsk
DNK,UKDD,Dnipro International Airport,48.357201,35.100601,UA,Dnipro
OZH,UKDE,Zaporizhzhia International Airport,47.867000579834,35.3157005310059,UA,Zaporizhia
KWG,UKDR,Kryvyi Rih International Airport,48.0433006286621,33.2099990844727,UA,Kryvyi Rih
UKS,UKFB,Sevastopol International Airport / Belbek Air Base,44.691822,33.57462,UA,Sevastopol
SIP,UKFF,Simferopol International Airport,45.0522,33.975101,UA,Simferopol
KHC,UKFK,Kerch Airport,45.372501373291,36.4014015197754,UA,Kerch
UKH,UKH,Mukhaizna Airport,19.386389,56.401389,OM,Mukhaizna Oil Field
HRK,UKHH,Kharkiv International Airport,49.924801,36.290001,UA,Kharkiv
PLV,UKHP,Suprunovka Airport,49.5685997009277,34.3972015380859,UA,Poltava
UMY,UKHS,Sumy Airport,50.8582992553711,34.7625007629395,UA,Sumy
CKC,UKKE,Cherkasy International Airport,49.4155998229981,31.9953002929687,UA,Cherkasy
KGO,UKKG,Kirovograd Airport,48.5428009033203,32.2849998474121,UA,Kirovograd
IEV,UKKK,Ihor Sikorsky Kyiv International Airport (Zhuliany),50.40194,30.45194,UA,Kyiv
ZTR,UKKV,Zhytomyr Airport,50.270556,28.738611,UA,
UCK,UKLC,Lutsk Airport,50.678404,25.487165,UA,Lutsk
HMJ,UKLH,Khmelnytskyi Airport,49.359699,26.933399,UA,Khmelnytskyi
IFO,UKLI,Ivano-Frankivsk International Airport,48.8842010498047,24.6861000061035,UA,Ivano-Frankivsk
LWO,UKLL,Lviv International Airport,49.8125,23.9561,UA,Lviv
CWC,UKLN,Chernivtsi International Airport,48.2593002319336,25.9808006286621,UA,Chernivtsi
RWN,UKLR,Rivne International Airport,50.6071014404297,26.1415996551514,UA,Rivne
UDJ,UKLU,Uzhhorod International Airport,48.6343002319336,22.2633991241455,UA,Uzhhorod
KHE,UKOH,Kherson International Airport,46.6758,32.506401,UA,Kherson
NLV,UKON,Mykolaiv International Airport,47.057899,31.9198,UA,Nikolayev
ODS,UKOO,Odessa International Airport,46.4268,30.6765,UA,Odessa
VIN,UKWW,Vinnytsia/Gavyryshivka International Airport,49.242531,28.613778,UA,Vinnitsa
ARH,ULAA,Talagi Airport,64.6003036499023,40.7167015075684,RU,Archangelsk
LDG,ULAL,Leshukonskoye Airport,64.8960037231,45.7229995728,RU,Leshukonskoye
NNM,ULAM,Naryan Mar Airport,67.6399993896484,53.121898651123,RU,Naryan Mar
CSH,ULAS,Solovki Airport,65.0299987793,35.7333335876,RU,Solovetsky Islands
CEE,ULBC,Cherepovets Airport,59.273601532,38.0158004761,RU,Cherepovets
AMV,ULDD,Amderma Airport,69.763298034668,61.5564002990723,RU,Amderma
VRI,ULDW,Varandey Airport,68.848503,58.201401,RU,Varandey
ULH,ULH,Majeed Bin Abdulaziz Airport,26.48,38.128889,SA,Al Ula
KSZ,ULKK,Kotlas Airport,61.2358016967773,46.6974983215332,RU,Kotlas
LED,ULLI,Pulkovo Airport,59.8003005981445,30.2625007629395,RU,St. Petersburg
KVK,ULMK,Kirovsk-Apatity Airport,67.4633026123047,33.5882987976074,RU,Apatity
MMK,ULMM,Murmansk Airport,68.7817001342773,32.7508010864258,RU,Murmansk
PKV,ULOO,Pskov Airport,57.7839012145996,28.3955993652344,RU,Pskov
PES,ULPB,Petrozavodsk Airport,61.8852005004883,34.1547012329102,RU,Petrozavodsk
VGD,ULWW,Vologda Airport,59.2825012207031,39.9444007873535,RU,Vologda
BQT,UMBB,Brest Airport,52.108299,23.8981,BY,Brest
GME,UMGG,Gomel Airport,52.5270004272461,31.0167007446289,BY,Gomel
